Public Authority,Code,Fines for truancy or holidays in 2016-17,Population in state-funded schools,Penalty per pupil,"Penalties per 1,000 pupils","Penalties per 1,000 pupils rounded",Notes
Barking and Dagenham,E09000002,736,41867,0.0176,17.58,17.58,
Barnet,E09000003,611,56004,0.0109,10.91,10.91,
Barnsley,E08000016,460,33093,0.0139,13.90,13.90,
Bath and North East Somerset,E06000022,207,26157,0.0079,7.91,7.91,
Bedford,E06000055,747,27509,0.0272,27.15,27.15,
Bexley,E09000004,88,43735,0.0020,2.01,2.01,
Birmingham,E08000025,931,194225,0.0048,4.79,4.79,
Blackburn with Darwen,E06000008,,26340,,,,Council did not supply data
Blackpool,E06000009,325,19005,0.0171,17.10,17.10,
Blaenau Gwent,W06000019,36,69628,0.0005,0.52,0.52,
Bolton,E08000001,1172,48263,0.0243,24.28,24.28,
Bournemouth,E06000028,174,22893,0.0076,7.60,7.60,
Bracknell Forest,E06000036,609,17591,0.0346,34.62,34.62,
Bradford,E08000032,5256,98381,0.0534,53.42,53.42,
Brent,E09000005,258,47973,0.0054,5.38,5.38,
Bridgend,W06000013,5,143177,0.0000,0.03,0.03,
Brighton and Hove,E06000043,,32015,,,,Council did not supply data
Bristol,E06000023,2628,55933,0.0470,46.98,46.98,
Bromley,E09000006,604,49371,0.0122,12.23,12.23,
Buckinghamshire,E10000002,1493,82583,0.0181,18.08,18.08,
Bury,E08000002,40,29008,0.0014,1.38,1.38,
Caerphilly,W06000018,102,180462,0.0006,0.57,0.57,
Calderdale,E08000033,821,36133,0.0227,22.72,22.72,
Cambridgeshire,E10000003,768,82978,0.0093,9.26,9.26,
Camden,E09000007,164,22637,0.0072,7.24,7.24,
Cardiff,W06000015,803,361468,0.0022,2.22,2.22,
Carmarthenshire,W06000010,,185610,,,,Council did not issue fines in 2016-17
Central Bedfordshire,E06000056,1246,42439,0.0294,29.36,29.36,
Ceredigion,W06000008,37,74146,0.0005,0.50,0.50,
Cheshire East,E06000049,220,51691,0.0043,4.26,4.26,
Cheshire West and Chester,E06000050,136,47944,0.0028,2.84,2.84,
City of London,E09000001,,250,,,,Council did not issue fines in 2016-17
York,E06000014,56,24825,0.0023,2.26,2.26,
Conwy,W06000003,71,116538,0.0006,0.61,0.61,
Cornwall,E06000052,19,71272,0.0003,0.27,0.27,
Coventry,E08000026,618,54235,0.0114,11.39,11.39,
Croydon,E09000008,,57125,,,,Council did not supply data
Cumbria,E10000006,66,69180,0.0010,0.95,0.95,
Darlington,E06000005,453,16022,0.0283,28.27,28.27,
Denbighshire,W06000004,87,94805,0.0009,0.92,0.92,
Derby,E06000015,1748,41461,0.0422,42.16,42.16,
Derbyshire,E10000007,2294,106363,0.0216,21.57,21.57,
Devon,E10000008,1479,96437,0.0153,15.34,15.34,
Doncaster,E08000017,1512,47695,0.0317,31.70,31.70,
Dorset,E10000009,704,55118,0.0128,12.77,12.77,
Dudley,E08000027,223,47274,0.0047,4.72,4.72,
Durham,E06000047,1258,71023,0.0177,17.71,17.71,
Ealing,E09000009,983,53095,0.0185,18.51,18.51,
East Riding of Yorkshire,E06000011,2884,45448,0.0635,63.46,63.46,
East Sussex,E10000011,2133,65546,0.0325,32.54,32.54,
Enfield,E09000010,117,57342,0.0020,2.04,2.04,
Essex,E10000012,4742,202816,0.0234,23.38,23.38,
Flintshire,W06000005,26,154419,0.0002,0.17,0.17,
Gateshead,E08000037,143,28453,0.0050,5.03,5.03,
Gloucestershire,E10000013,110,84847,0.0013,1.30,1.30,
Gwynedd,W06000002,,123627,,,,Council did not issue fines in 2016-17
Hackney,E09000012,402,34073,0.0118,11.80,11.80,
Halton,E06000006,356,18830,0.0189,18.91,18.91,
Hammersmith and Fulham,E09000013,,19944,,,,Council did not supply data
Hampshire,E10000014,,172060,,,,Council did not supply data
Haringey,E09000014,191,37366,0.0051,5.11,5.11,
Harrow,E09000015,164,35070,0.0047,4.68,4.68,
Hartlepool,E06000001,78,15246,0.0051,5.12,5.12,
Havering,E09000016,1416,38389,0.0369,36.89,36.89,
Herefordshire,E06000019,498,23116,0.0215,21.54,21.54,
Hertfordshire,E10000015,915,189573,0.0048,4.83,4.83,
Hillingdon,E09000017,371,50991,0.0073,7.28,7.28,
Hounslow,E09000018,226,41796,0.0054,5.41,5.41,
Hull,E06000010,611,38575,0.0158,15.84,15.84,
Isle of Anglesey,W06000001,17,69723,0.0002,0.24,0.24,
Isle of Wight,E06000046,1073,16806,0.0638,63.85,63.85,
Islington,E09000019,388,24505,0.0158,15.83,15.83,
Kensington and Chelsea,E09000020,53,12367,0.0043,4.29,4.29,
Kent,E10000016,3904,224415,0.0174,17.40,17.40,
Kingston upon Thames,E09000021,113,24559,0.0046,4.60,4.60,
Kirklees,E08000034,3240,66331,0.0488,48.85,48.85,
Knowsley,E08000011,433,20361,0.0213,21.27,21.27,
Lambeth,E09000022,216,36805,0.0059,5.87,5.87,
Lancashire,E10000017,6835,167529,0.0408,40.80,40.80,
Leeds,E08000035,5053,117765,0.0429,42.91,42.91,
Leicester,E06000016,2838,53404,0.0531,53.14,53.14,
Leicestershire,E10000018,1049,95086,0.0110,11.03,11.03,
Lewisham,E09000023,258,41381,0.0062,6.23,6.23,
Lincolnshire,E10000019,739,104170,0.0071,7.09,7.09,
Liverpool,E08000012,919,69747,0.0132,13.18,13.18,
Luton,E06000032,,36915,,,,Council did not supply data
Manchester,E08000003,3086,80594,0.0383,38.29,38.29,
Medway,E06000035,1392,44671,0.0312,31.16,31.16,
Merthyr Tydfil,W06000024,277,59810,0.0046,4.63,4.63,
Merton,E09000024,187,28785,0.0065,6.50,6.50,
Middlesbrough,E06000002,602,23623,0.0255,25.48,25.48,
Milton Keynes,E06000042,402,45228,0.0089,8.89,8.89,
Monmouthshire,W06000021,,92843,,,,Council did not issue fines in 2016-17
Neath Port Talbot,W06000012,120,141588,0.0008,0.85,0.85,
Newcastle upon Tyne,E08000021,259,39101,0.0066,6.62,6.62,
Newham,E09000025,,58735,,,,Council did not supply data
Newport,W06000022,87,149148,0.0006,0.58,0.58,
Norfolk,E10000020,1300,111998,0.0116,11.61,11.61,
North East Lincolnshire,E06000012,551,23467,0.0235,23.48,23.48,
North Lincolnshire,E06000013,955,23976,0.0398,39.83,39.83,
North Somerset,E06000024,862,29664,0.0291,29.06,29.06,
North Tyneside,E08000022,127,30527,0.0042,4.16,4.16,
North Yorkshire,E10000023,654,82160,0.0080,7.96,7.96,
Northamptonshire,E10000021,2542,112215,0.0227,22.65,22.65,
Northumberland,E06000057,232,46088,0.0050,5.03,5.03,
Nottingham,E06000018,282,44191,0.0064,6.38,6.38,
Nottinghamshire,E10000024,3771,117342,0.0321,32.14,32.14,
Oldham,E08000004,551,42819,0.0129,12.87,12.87,
Oxfordshire,E10000025,81,91830,0.0009,0.88,0.88,
Pembrokeshire,W06000009,,123954,,,,Council did not supply data
Peterborough,E06000031,967,35202,0.0275,27.47,27.47,
Plymouth,E06000026,260,38456,0.0068,6.76,6.76,
Poole,E06000029,207,19296,0.0107,10.73,10.73,
Portsmouth,E06000044,1460,24991,0.0584,58.42,58.42,
Powys,W06000023,85,132160,0.0006,0.64,0.64,
Reading,E06000038,311,21137,0.0147,14.71,14.71,
Redbridge,E09000026,,55172,,,,Council did not supply data
Redcar and Cleveland,E06000003,309,21686,0.0142,14.25,14.25,
Rhondda Cynon Taf,W06000016,637,238306,0.0027,2.67,2.67,
Richmond upon Thames,E09000027,,25830,,,,Council did not issue fines in 2016-17
Rochdale,E08000005,926,34162,0.0271,27.11,27.11,
Rotherham,E08000018,365,44081,0.0083,8.28,8.28,
Greenwich,E09000011,186,41046,0.0045,4.53,4.53,
Rutland,E06000017,88,5676,0.0155,15.50,15.50,
Salford,E08000006,,34583,,,,Council did not supply data
Sandwell,E08000028,,57080,,,,Council did not supply data
Isles of Scilly,E06000053,,279,,,,Council did not supply data
Sefton,E08000014,1296,40148,0.0323,32.28,32.28,
Sheffield,E08000019,3068,78749,0.0390,38.96,38.96,
Shropshire,E06000051,241,38084,0.0063,6.33,6.33,
Slough,E06000039,1276,28879,0.0442,44.18,44.18,
Solihull,E08000029,1048,38302,0.0274,27.36,27.36,
Somerset,E10000027,,68709,,,,Council did not supply data
South Gloucestershire,E06000025,201,39029,0.0052,5.15,5.15,
South Tyneside,E08000023,309,21356,0.0145,14.47,14.47,
Southampton,E06000045,948,30447,0.0311,31.14,31.14,
Southend-on-Sea,E06000033,1,28832,0.0000,0.03,0.03,
Southwark,E09000028,47,41120,0.0011,1.14,1.14,
St Helens,E08000013,269,25786,0.0104,10.43,10.43,
Staffordshire,E10000028,780,120696,0.0065,6.46,6.46,
Stockport,E08000007,518,39888,0.0130,12.99,12.99,
Stockton-on-Tees,E06000004,713,30556,0.0233,23.33,23.33,
Stoke-on-Trent,E06000021,99,37619,0.0026,2.63,2.63,
Suffolk,E10000029,6072,101105,0.0601,60.06,60.06,
Sunderland,E08000024,149,40337,0.0037,3.69,3.69,
Surrey,E10000030,701,150546,0.0047,4.66,4.66,
Sutton,E09000029,669,36384,0.0184,18.39,18.39,
Swansea,W06000011,,32644,,,,Council did not supply data
Tameside,E08000008,1092,35691,0.0306,30.60,30.60,
Telford and Wrekin,E06000020,606,27942,0.0217,21.69,21.69,
Thurrock,E06000034,27,27022,0.0010,1.00,1.00,
Torbay,E06000027,262,19472,0.0135,13.46,13.46,
Torfaen,W06000020,,92052,,,,Council did not supply data
Tower Hamlets,E09000030,1696,43401,0.0391,39.08,39.08,
Trafford,E08000009,288,39564,0.0073,7.28,7.28,
Vale of Glamorgan,W06000014,61,128463,0.0005,0.47,0.47,
Wakefield,E08000036,1355,51398,0.0264,26.36,26.36,
Walsall,E08000030,686,49114,0.0140,13.97,13.97,
Waltham Forest,E09000031,1338,42472,0.0315,31.50,31.50,
Wandsworth,E09000032,216,32915,0.0066,6.56,6.56,
Warrington,E06000007,,31916,,,,Council did not supply data
Warwickshire,E10000031,222,78864,0.0028,2.81,2.81,
West Berkshire,E06000037,86,25531,0.0034,3.37,3.37,
West Sussex,E10000032,2988,109697,0.0272,27.24,27.24,
Westminster,E09000033,,22595,,,,Council did not supply data
Wigan,E08000010,544,46071,0.0118,11.81,11.81,
Wiltshire,E06000054,120,66758,0.0018,1.80,1.80,
Windsor and Maidenhead,E06000040,,20988,,,,Council did not supply data
Wirral,E08000015,584,49223,0.0119,11.86,11.86,
Wokingham,E06000041,,25291,,,,Council did not supply data
Wolverhampton,E08000031,487,41164,0.0118,11.83,11.83,
Worcestershire,E10000034,442,78202,0.0057,5.65,5.65,
Wrexham,W06000006,107,136710,0.0008,0.78,0.78,
Swindon,E08000031,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
